date,province,region,variable,value
1/1/2020,Sing Buri ,central,ratio_tourist_stay,57.93
1/1/2020,Ang Thong ,central,ratio_tourist_stay,63.97
1/1/2020,Nonthaburi ,central,ratio_tourist_stay,71.1
1/1/2020,Pathum Thani ,central,ratio_tourist_stay,58.63
1/1/2020,Samut Prakan ,central,ratio_tourist_stay,69.55
1/1/2020,Samut Sakhon ,central,ratio_tourist_stay,58.37
1/1/2020,Chachoengsao ,east,ratio_tourist_stay,55.42
1/1/2020,Ratchaburi ,central,ratio_tourist_stay,72.78
1/1/2020,Kanchanaburi ,central,ratio_tourist_stay,81.92
1/1/2020,Samut Songkhram ,central,ratio_tourist_stay,69.52
1/1/2020,Suphan Buri ,central,ratio_tourist_stay,85.81
1/1/2020,Phetchaburi ,central,ratio_tourist_stay,72.6
1/1/2020,Prachuap Khiri Khan ,central,ratio_tourist_stay,70.35
1/1/2020,Chonburi ,east,ratio_tourist_stay,83.21
1/1/2020,Chanthaburi ,east,ratio_tourist_stay,76.36
1/1/2020,Trat ,east,ratio_tourist_stay,72.26
1/1/2020,Nakhon Nayok ,east,ratio_tourist_stay,59.86
1/1/2020,Prachinburi ,east,ratio_tourist_stay,67.12
1/1/2020,Rayong ,east,ratio_tourist_stay,65.73
1/1/2020,Sa Kaeo ,east,ratio_tourist_stay,49.25
1/1/2020,Phuket ,south,ratio_tourist_stay,87.71
1/1/2020,Phatthalung ,south,ratio_tourist_stay,67.53
1/1/2020,Trang ,south,ratio_tourist_stay,67.6
1/1/2020,Ranong ,south,ratio_tourist_stay,52.8
1/1/2020,Chumphon ,south,ratio_tourist_stay,58.98
1/1/2020,Pattani ,south,ratio_tourist_stay,45.72
1/1/2020,Yala ,south,ratio_tourist_stay,48.36
1/1/2020,Nakhon Si Thammarat ,south,ratio_tourist_stay,56.04
1/1/2020,Narathiwat ,south,ratio_tourist_stay,60.39
1/1/2020,Krabi ,south,ratio_tourist_stay,79.51
1/1/2020,Songkhla ,south,ratio_tourist_stay,82.05
1/1/2020,Phang Nga ,south,ratio_tourist_stay,85.24
1/1/2020,Surat Thani ,south,ratio_tourist_stay,69.1
1/1/2020,Satun ,south,ratio_tourist_stay,72.77
1/1/2020,Kamphaeng Phet ,north,ratio_tourist_stay,53.72
1/1/2020,Chiang Rai ,north,ratio_tourist_stay,78.3
1/1/2020,Chiang Mai ,north,ratio_tourist_stay,85.32
